Date, Host, Packet loss, min, avg, max, mdev
23/04/2018 12:53:08 BST, 188.42.162.69,  0%, 168.436, 177.473, 200.568, 6.503
23/04/2018 12:55:07 BST, 116.12.51.45,  0%, 197.152, 197.961, 214.006, 2.115
23/04/2018 12:57:06 BST, 180.92.193.10,  0%, 246.357, 249.126, 268.041, 4.582
23/04/2018 18:19:12 BST, 104.20.72.23,  0%, 168.313, 173.140, 180.426, 2.194
23/04/2018 18:21:12 BST, 202.78.202.70,  0%, 314.345, 316.498, 322.448, 1.050
23/04/2018 18:25:21 BST, 200.170.94.6,  0%, 243.077, 243.814, 246.933, 1.251
23/04/2018 18:27:21 BST, 45.221.77.2,  0%, 226.499, 226.661, 227.701, 0.680
23/04/2018 18:29:20 BST, 116.90.239.10,  0%, 243.453, 243.623, 244.573, 0.479
23/04/2018 18:31:20 BST, 41.72.99.143,  5%, 183.010, 183.643, 187.491, 0.705
23/04/2018 18:33:20 BST, 163.43.24.70,  0%, 149.727, 149.884, 151.944, 0.245
23/04/2018 18:35:19 BST, 133.130.35.170,  0%, 253.828, 254.874, 261.725, 1.701
23/04/2018 18:37:19 BST, 103.242.31.11,  0%, 169.006, 170.424, 283.126, 10.358
23/04/2018 18:39:18 BST, 103.75.188.168,  75%, 10.374, 10.486, 10.569, 0.131
23/04/2018 18:41:18 BST, 107.190.134.163,  0%, 285.491, 285.648, 285.972, 0.586
23/04/2018 18:43:18 BST, 103.241.150.190,  0%, 191.876, 192.057, 193.165, 0.481
23/04/2018 18:45:18 BST, 112.137.166.236,  0%, 12.076, 12.217, 12.797, 0.166
23/04/2018 18:47:17 BST, 178.33.235.187,  0%, 191.877, 192.137, 194.233, 0.663
23/04/2018 18:49:17 BST, 101.100.209.220,  16%, 291.685, 294.173, 296.224, 1.721
23/04/2018 18:51:17 BST, 116.12.51.45,  0%, 6.434, 6.548, 6.809, 0.136
23/04/2018 18:53:16 BST, 188.42.162.69,  0%, 171.344, 175.851, 232.135, 6.113
23/04/2018 18:55:15 BST, 116.12.51.45,  0%, 192.900, 196.919, 205.030, 1.614
23/04/2018 18:57:15 BST, 180.92.193.10,  0%, 242.263, 249.272, 268.429, 4.878
